2012-03-02 13:58:00,852 ERROR | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 257 | run | com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Incorrect routine name ''
2012-03-02 13:58:00,883 ERROR | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 257 | run | com.mysql.jdbc.exceptions.jdbc4.MySQLSyntaxErrorException: Incorrect routine name ''
2012-03-02 14:04:56,890 WARN | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 265 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:04:56,890 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 265 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:10:29,895 WARN | main | com.boryi.compaign.sender.AutoMailSending | 211 | OnRun | java.lang.ArrayIndexOutOfBoundsException: 4
2012-03-02 14:11:40,760 WARN | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 265 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:11:40,791 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 265 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:12:48,518 WARN | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 265 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:12:51,687 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 265 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:17:37,222 WARN | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 266 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:17:39,845 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 266 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:18:40,470 WARN | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 266 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:19:07,286 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 266 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:30:05,663 WARN | main | com.boryi.compaign.sender.AutoMailSending | 202 | OnRun | java.lang.NullPointerException
2012-03-02 14:39:12,304 WARN | Thread-3 | com.boryi.compaign.sender.AutoMailSending$2 | 258 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:39:12,304 WARN | Thread-3 | com.boryi.compaign.sender.AutoMailSending$2 | 258 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:39:12,429 WARN | Thread-1 | com.boryi.compaign.sender.AutoMailSending$2 | 258 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:39:12,304 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 258 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:39:12,444 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 258 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
2012-03-02 14:47:49,810 WARN | Thread-2 | com.boryi.compaign.sender.AutoMailSending$2 | 261 | run | javax.mail.NoSuchProviderException: Invalid protocol: null
